Id,Probability
1,0.063457899
2,0.053343618
3,0.014638795
4,0.067789888
5,0.125360041
6,0.033983004
7,0.049986166
8,0.045351686
9,0.002050657
10,0.280107238
11,0.008327935
12,0.024843457
13,0.008889269
14,0.064314314
15,0.054635426
16,0.017153615
17,0.033651591
18,0.017248747
19,0.199658676
20,0.085510574
21,0.010624389
22,0.012863915
23,0.003141212
24,0.484297517
25,0.072574079
26,0.019684969
27,0.082618834
28,0.012190366
29,0.053421367
30,0.025708978
31,0.067224459
32,0.009299355
33,0.019206102
34,0.066776189
35,0.360361662
36,0.069849147
37,0.035191467
38,0.020036711
39,0.011671714
40,0.056183261
41,0.515709481
42,0.287086033
43,0.093679822
44,0.005264412
45,0.050103439
46,0.004001526
47,0.00455044
48,0.019418774
49,0.023841963
50,0.037923358
51,0.023355553
52,0.029103574
53,0.009556927
54,0.056756918
55,0.019570546
56,0.071583172
57,0.00780275
58,0.150195104
59,0.077036669
60,0.077916965
61,0.024908719
62,0.006464069
63,0.023308915
64,0.009001766
65,0.035290288
66,0.025145012
67,0.013880592
68,0.143246968
69,0.006262004
70,0.564688631
71,0.020224959
72,0.100314
73,0.005787969
74,0.185221919
75,0.019510838
76,0.040754218
77,0.086201221
78,0.041414867
79,0.05412986
80,0.022088446
81,0.017632178
82,0.01471505
83,0.035588695
84,0.007583241
85,0.017994159
86,0.015821224
87,0.050869459
88,0.014762653
89,0.034537604
90,0.023554584
91,0.068374892
92,0.01704777
93,0.013982803
94,0.036448691
95,0.007026861
96,0.168133393
97,0.041581172
98,0.079389031
99,0.011644524
100,0.019863791
101,0.062866895
102,0.085079645
103,0.007929829
104,0.061610683
105,0.108827653
106,0.032384056
107,0.287453558
108,0.028919139
109,0.004129545
110,0.026318159
111,0.026251784
112,0.035260893
113,0.027151362
114,0.507467739
115,0.096796848
116,0.01095306
117,0.001067992
118,0.074476719
119,0.016848899
120,0.00700274
121,0.011474707
122,0.076123518
123,0.012593271
124,0.44446813
125,0.007357831
126,0.018479314
127,0.003926228
128,0.014203844
129,0.005155394
130,0.063445518
131,0.030484751
132,0.080123982
133,0.009650145
134,0.09579813
135,0.126893548
136,0.00964213
137,0.212077758
138,0.042614363
139,0.005633017
140,0.018795762
141,0.003342522
142,0.017764866
143,0.004642913
144,0.019160231
145,0.323723297
146,0.011905399
147,0.004932513
148,0.101666445
149,0.004957825
150,0.051309298
151,0.003960766
152,0.011662653
153,0.008472016
154,0.012521535
155,0.018025069
156,0.023490105
157,0.05223187
158,0.008015321
159,0.107162872
160,0.026330494
161,0.005227728
162,0.01040382
163,0.015652733
164,0.058585062
165,0.016458726
166,0.028880387
167,0.523097854
168,0.021849936
169,0.204861969
170,0.011924677
171,0.003020943
172,0.022242092
173,0.014819376
174,0.045501109
175,0.016924132
176,0.339504063
177,0.045998148
178,0.119876311
179,0.014904394
180,0.011541934
181,0.044862023
182,0.008503405
183,0.026132318
184,0.01771022
185,0.129652726
186,0.01547243
187,0.010651909
188,0.033534541
189,0.055595204
190,0.025799967
191,0.028235553
192,0.050520814
193,0.016853125
194,0.065484237
195,0.014206821
196,0.037721575
197,0.012320805
198,0.009929417
199,0.009527156
200,0.008428112
201,0.074795383
202,0.033533527
203,0.404121862
204,0.049571726
205,0.033545079
206,0.009869278
207,0.027325503
208,0.003536481
209,0.082212587
210,0.005013554
211,0.096599451
212,0.026799159
213,0.02600427
214,0.008883721
215,0.020311916
216,0.064694788
217,0.007722642
218,0.096342523
219,0.017036695
220,0.004294084
221,0.017741394
222,0.007414519
223,0.020373129
224,0.013874244
225,0.009789003
226,0.078733278
227,0.008462972
228,0.061178425
229,0.106029146
230,0.423345139
231,0.230754133
232,0.013433539
233,0.012948994
234,0.019263523
235,0.002937152
236,0.186478151
237,0.115437935
238,0.005013554
239,0.013302659
240,0.017265811
241,0.050652991
242,0.015068164
243,0.005547806
244,0.02438504
245,0.077959232
246,0.012912428
247,0.039113767
248,0.003638629
249,0.024741915
250,0.275754776
251,0.024761555
252,0.253111052
253,0.004738341
254,0.111683041
255,0.004929269
256,0.012023556
257,0.048036504
258,0.138622139
259,0.043203208
260,0.158616226
261,0.011518879
262,0.018555947
263,0.004608485
264,0.061313209
265,0.073415528
266,0.015320669
267,0.074264016
268,0.051039454
269,0.187570777
270,0.006156767
271,0.029631593
272,0.054654216
273,0.006766797
274,0.017268926
275,0.00406195
276,0.029483089
277,0.014140688
278,0.012249453
279,0.063429091
280,0.029353297
281,0.647247212
282,0.046994933
283,0.072489662
284,0.015445244
285,0.015039874
286,0.01119648
287,0.011651498
288,0.041199034
289,0.075315109
290,0.07393756
291,0.238673506
292,0.006579692
293,0.036471901
294,0.013742123
295,0.005039161
296,0.031180287
297,0.01534289
298,0.033345654
299,0.004173688
300,0.007111592
301,0.0600657
302,0.008801626
303,0.012992854
304,0.03026574
305,0.359890606
306,0.028935332
307,0.004152857
308,0.312435112
309,0.275998721
310,0.011441318
311,0.480952142
312,0.025248226
313,0.246061409
314,0.046161865
315,0.057287103
316,0.096445645
317,0.285393299
318,0.007786467
319,0.012183
320,0.092298421
321,0.108603858
322,0.015680803
323,0.014602626
324,0.007639249
325,0.087691191
326,0.007156298
327,0.018368415
328,0.012185456
329,0.024675336
330,0.008552061
331,0.017852385
332,0.017557463
333,0.013278198
334,0.03653162
335,0.031101366
336,0.050307327
337,0.015853033
338,0.274071759
339,0.04312
340,0.01376246
341,0.001198924
342,0.020012281
343,0.019628172
344,0.049867935
345,0.037223065
346,0.024064319
347,0.36752227
348,0.10834619
349,0.023197094
350,0.010006694
351,0.066863925
352,0.049768926
353,0.000652445
354,0.11293963
355,0.011186042
356,0.004936636
357,0.615261292
358,0.004511783
359,0.033511353
360,0.24575992
361,0.022217281
362,0.01021125
363,0.002824968
364,0.017352549
365,0.178439425
366,0.082983555
367,0.0252175
368,0.074785074
369,0.012115193
370,0.37617826
371,0.0121375
372,0.100699375
373,0.015829797
374,0.009274728
375,0.014235316
376,0.00656781
377,0.031464356
378,0.007736216
379,0.01768833
380,0.022337684
381,0.008289646
382,0.023020591
383,0.053329825
384,0.107931399
385,0.0247729
386,0.002268889
387,0.002196573
388,0.021167342
389,0.022878273
390,0.019940489
391,0.002533136
392,0.005915942
393,0.021974106
394,0.107639204
395,0.007382675
396,0.001733088
397,0.06933949
398,0.141293917
399,0.012012209
400,0.026941162
401,0.00362819
402,0.003845697
403,0.021710657
404,0.000938839
405,0.723383965
406,0.673639227
407,0.021840639
408,0.071982562
409,0.02727885
410,0.015984629
411,0.025312624
412,0.043907889
413,0.095219854
414,0.01482664
415,0.006502551
416,0.134499138
417,0.104380874
418,0.043440038
419,0.009243425
420,0.017707931
421,0.008691006
422,0.009054158
423,0.04160095
424,0.00344677
425,0.004984014
426,0.009483009
427,0.026250013
428,0.017645529
429,0.094679739
430,0.013859907
431,0.280416489
432,0.004398029
433,0.011679259
434,0.016424758
435,0.039257684
436,0.039807324
437,0.053632417
438,0.090971637
439,0.007187464
440,0.043979231
441,0.013874595
442,0.03178078
443,0.046123854
444,0.003017331
445,0.039316344
446,0.308922085
447,0.018200687
448,0.081529254
449,0.062356501
450,0.003727898
451,0.030756974
452,0.00495304
453,0.105045012
454,0.014951691
455,0.063373305
456,0.026785014
457,0.049958282
458,0.013312134
459,0.079998911
460,0.011181471
461,0.017299069
462,0.06975517
463,0.01167313
464,0.063620307
465,0.062331352
466,0.002601632
467,0.010854088
468,0.01993496
469,0.006412698
470,0.195815927
471,0.004256898
472,0.012746701
473,0.320709269
474,0.053216824
475,0.021232876
476,0.012311998
477,0.034136282
478,0.013471042
479,0.023400317
480,0.010796038
481,0.085779892
482,0.006074397
483,0.050799399
484,0.063788812
485,0.003560031
486,0.263504283
487,0.038666017
488,0.068376555
489,0.140501035
490,0.046690849
491,0.01053204
492,0.027917984
493,0.385482917
494,0.009788786
495,0.193669719
496,0.01960533
497,0.016999227
498,0.01260678
499,0.080886658
500,0.013835314
501,0.024235377
502,0.022093538
503,0.044782632
504,0.017327678
505,0.006003389
506,0.204667816
507,0.053202945
508,0.000559282
509,0.005149397
510,0.016186227
511,0.019387035
512,0.188650949
513,0.055041334
514,0.028124205
515,0.019544615
516,0.301157708
517,0.008890308
518,0.014981185
519,0.003691238
520,0.017490102
521,0.004075151
522,0.012675603
523,0.079037392
524,0.040191105
525,0.0546019
526,0.482636212
527,0.122123811
528,0.009355737
529,0.171870633
530,0.021660585
531,0.007044714
532,0.006075944
533,0.012202779
534,0.002988096
535,0.014461099
536,0.00374334
537,0.01629341
538,0.062280882
539,0.023874126
540,0.008535874
541,0.031154015
542,0.034291513
543,0.06553027
544,0.097739537
545,0.02299293
546,0.010516585
547,0.049420246
548,0.008817581
549,0.00541749
550,0.165823704
551,0.252819888
552,0.134024777
553,0.015089536
554,0.009211965
555,0.081300275
556,0.020964518
557,0.025255185
558,0.032828022
559,0.132184299
560,0.03275403
561,0
562,0.011954566
563,0.073430374
564,0.047773093
565,0.105091158
566,0.012200908
567,0.004125511
568,0.026822029
569,0.345855497
570,0.084052814
571,0.11530473
572,0.018936394
573,0.014966824
574,0.076349344
575,0.061300683
576,0.006374784
577,0.054305798
578,0.009942184
579,0.098818895
580,0.00735095
581,0.008126037
582,0.017470625
583,0.006135977
584,0.021929757
585,0.036555136
586,0.005408262
587,0.017382819
588,0.062949706
589,0.016984901
590,0.016080644
591,0.113757908
592,0.013017392
593,0.01981931
594,0.017848971
595,0.179063675
596,0.026306958
597,0.017128928
598,0.031418887
599,0.029208342
600,0.008697489
601,0.012427371
602,0.035146867
603,0.01540496
604,0.011922872
605,0.099480965
606,0.007329473
607,0.068176521
608,0.025108389
609,0.253385723
610,0.0241666
611,0.054546191
612,0.006924167
613,0.014159988
614,0.036067171
615,0.023858245
616,0.002454448
617,0.072665549
618,0.009167656
619,0.016215427
620,0.031872258
621,0.005613398
622,0.047054654
623,0.025445887
624,0.032192503
625,0.094515596
626,0.539254865
